Product_ID,Product_Category,Product_Line,Model,evaluation_start,evaluation_end,observation_count,evaluated_months,actual_demand,forecast_demand,absolute_error_sum,squared_error_sum,error_sum,mae,rmse,wape_pct,mean_bias,forecast_bias_pct,overforecast_count,underforecast_count
P004,Electronic Module,Automotive Component,Random Forest,2025-07-01,2025-12-01,24,6,174218.0,196606.68789779663,94500.51628305222,634524881.837373,22388.687897796626,3937.5215117938424,5141.841765673451,54.242682319308116,932.8619957415261,12.850961380452437,13,11
P004,Electronic Module,Automotive Component,Naive Forecast,2025-07-01,2025-12-01,24,6,174218.0,170774.0,121918.0,940485070.0,-3444.0,5079.916666666667,6259.942325346669,69.98013982481719,-143.5,-1.9768336222433962,11,13
P005,Sensor,Automotive Component,Random Forest,2025-07-01,2025-12-01,24,6,209102.0,205556.82578302603,86417.07419945748,559816661.8490674,-3545.174216973981,3600.711424977395,4829.668129769492,41.3277128862744,-147.71559237391588,-1.695428172362761,14,10
P005,Sensor,Automotive Component,Seasonal Naive,2025-07-01,2025-12-01,24,6,209102.0,224056.0,87738.0,459120066.0,14954.0,3655.75,4373.785860098777,41.95942649998565,623.0833333333334,7.151533701255847,11,13
P005,Sensor,Automotive Component,Naive Forecast,2025-07-01,2025-12-01,24,6,209102.0,213069.0,110311.0,935547193.0,3967.0,4596.291666666667,6243.4872500603915,52.75463649319471,165.29166666666666,1.8971602375873975,11,13
P006,Brake System,Automotive Component,Random Forest,2025-07-01,2025-12-01,24,6,185912.0,199695.94110764647,55061.14432441448,254489319.1891522,13783.941107646488,2294.2143468506033,3256.3356142881435,29.616778004870305,574.3308794852703,7.414228832806106,15,9
P006,Brake System,Automotive Component,Naive Forecast,2025-07-01,2025-12-01,24,6,185912.0,183491.0,82495.0,462117757.0,-2421.0,3437.2916666666665,4388.041310387433,44.37314428331684,-100.875,-1.302229011575369,11,13
P006,Brake System,Automotive Component,Seasonal Naive,2025-07-01,2025-12-01,24,6,185912.0,200904.0,95874.0,655520998.0,14992.0,3994.75,5226.219945301448,51.56955979172942,624.6666666666666,8.064030293902492,12,12
P007,Transmission,Automotive Component,Random Forest,2025-07-01,2025-12-01,24,6,206457.0,201962.67691740883,78534.40303513607,398984531.45253885,-4494.323082591158,3272.2667931306696,4077.2975703508714,38.03910888714651,-187.26346177463157,-2.1768809401430604,10,14
P007,Transmission,Automotive Component,Seasonal Naive,2025-07-01,2025-12-01,24,6,206457.0,208872.0,82239.0,394110039.0,2415.0,3426.625,4052.3143541684917,39.833476220229876,100.625,1.1697351022246762,11,13
P007,Transmission,Automotive Component,Naive Forecast,2025-07-01,2025-12-01,24,6,206457.0,185098.0,95367.0,623170699.0,-21359.0,3973.625,5095.6300681727935,46.19218529766489,-889.9583333333334,-10.345495672222302,9,15
P008,Control Unit,Automotive Component,Random Forest,2025-07-01,2025-12-01,24,6,207601.0,208602.71897056216,59576.76084897567,218929563.10600194,1001.7189705621377,2482.3650353739863,3020.2756710963895,28.69772344496205,41.73829044008907,0.4825212646192156,12,12
P008,Control Unit,Automotive Component,Naive Forecast,2025-07-01,2025-12-01,24,6,207601.0,204798.0,78307.0,376516697.0,-2803.0,3262.7916666666665,3960.8327039062547,37.71995317941629,-116.79166666666667,-1.350186174440393,11,13
P008,Control Unit,Automotive Component,Seasonal Naive,2025-07-01,2025-12-01,24,6,207601.0,233300.0,107859.0,660692727.0,25699.0,4494.125,5246.795557766664,51.95495204743715,1070.7916666666667,12.379034783069446,14,10
