Order_ID,Order_Date,Customer_ID,Product_ID,Region_ID,Quantity,Unit_Price,Revenue,Delivery_Days,Order_Status
SO00029,2024-12-17,C033,P002,R02,1653,133.88,221303.64,23,Completed
SO00030,2023-07-23,C008,P003,R04,1208,366.05,442188.4,3,Completed
SO00031,2024-08-26,C022,P004,R02,1448,140.22,203038.56,8,Completed
SO00032,2025-12-11,C008,P004,R04,1356,228.51,309859.56,23,Completed
SO00033,2024-07-11,C033,P005,R02,502,130.49,65505.98,18,Completed
SO00034,2023-11-10,C049,P001,R03,1585,105.01,166440.85,16,Completed
SO00035,2025-10-08,C041,P003,R02,1110,465.59,516804.9,19,Completed
SO00036,2024-09-06,C033,P005,R02,1189,161.34,191833.26,23,Completed
SO00037,2023-08-06,C003,P003,R03,177,198.89,35203.53,12,Completed
SO00038,2025-10-29,C040,P006,R01,735,66.64,48980.4,17,Completed
SO00039,2025-12-22,C027,P001,R03,539,441.14,237774.46,19,Completed
SO00040,2025-07-26,C048,P001,R04,1112,160.92,178943.04,25,Completed
SO00041,2024-04-08,C024,P002,R02,574,59.17,33963.58,9,Completed
SO00042,2024-07-10,C001,P007,R01,1849,356.94,659982.06,18,Completed
SO00043,2023-02-27,C015,P008,R04,1165,297.86,347006.9,25,Completed
SO00044,2025-01-06,C022,P003,R02,363,432.99,157175.37,19,Completed
SO00045,2023-02-12,C043,P007,R04,493,176.79,87157.47,10,Completed
SO00046,2025-04-28,C005,P002,R04,1176,60.97,71700.72,15,Completed
SO00047,2023-08-10,C035,P004,R02,872,86.41,75349.52,18,Completed
SO00048,2025-12-08,C030,P004,R02,1732,401.69,695727.08,21,Completed
SO00049,2024-04-30,C037,P001,R04,1547,482.07,745762.29,25,Completed
SO00050,2024-04-18,C001,P006,R01,1131,459.3,519468.3,17,Completed
SO00051,2023-10-11,C048,P005,R04,1674,336.89,563953.86,23,Completed
SO00052,2024-12-03,C005,P004,R04,839,370.42,310782.38,5,Completed
SO00053,2023-10-08,C037,P003,R04,1159,26.91,31188.69,16,Completed
SO00054,2023-04-15,C030,P001,R02,1823,490.17,893579.91,7,Completed
SO00055,2024-06-09,C048,P001,R04,390,247.27,96435.3,3,Completed
SO00056,2024-05-29,C010,P006,R04,1831,324.84,594782.04,4,Completed
SO00057,2023-10-21,C019,P001,R04,491,260.5,127905.5,26,Completed
SO00058,2024-12-23,C024,P002,R02,385,328.36,126418.6,19,Completed
SO00059,2025-08-16,C020,P005,R01,1737,345.04,599334.48,5,Completed
SO00060,2024-12-08,C043,P004,R04,1686,320.45,540278.7,3,Completed
SO00061,2025-11-23,C044,P008,R01,334,53.29,17798.86,16,Completed
SO00062,2023-01-21,C035,P001,R02,776,54.17,42035.92,10,Completed
SO00063,2024-02-29,C034,P006,R02,164,155.29,25467.56,6,Completed
SO00064,2025-01-30,C011,P003,R04,462,38.81,17930.22,27,Delayed
SO00065,2025-06-05,C010,P003,R04,1942,380.3,738542.6,5,Completed
SO00066,2025-12-22,C018,P003,R04,1058,392.68,415455.44,26,Completed
SO00067,2025-08-16,C012,P005,R01,1442,346.33,499407.86,25,Completed
SO00068,2025-04-10,C017,P001,R03,1954,262.52,512964.08,18,Completed
SO00069,2024-03-05,C019,P003,R04,226,45.67,10321.42,11,Completed
SO00070,2025-07-24,C028,P003,R04,767,344.85,264499.95,22,Completed
SO00071,2024-09-30,C005,P005,R04,1172,309.17,362347.24,22,Completed
SO00072,2025-01-07,C023,P006,R04,1217,399.02,485607.34,15,Completed
SO00073,2025-10-24,C014,P008,R03,1296,46.82,60678.72,5,Completed
SO00074,2025-09-09,C018,P003,R04,800,88.64,70912.0,12,Completed
SO00075,2025-07-13,C038,P007,R02,1592,224.52,357435.84,10,Completed
SO00076,2023-03-24,C002,P007,R04,1590,266.4,423576.0,8,Completed
SO00077,2025-12-18,C001,P003,R01,1415,410.14,580348.1,9,Completed
SO00078,2025-12-18,C006,P006,R04,1325,60.08,79606.0,14,Completed
SO00079,2024-09-13,C026,P004,R04,1604,73.37,117685.48,5,Completed
SO00080,2023-10-14,C020,P004,R01,525,388.25,203831.25,11,Completed
SO00081,2025-03-29,C028,P006,R04,239,212.11,50694.29,19,Completed
SO00082,2023-04-05,C006,P005,R04,107,25.83,2763.81,15,Completed
SO00083,2023-02-19,C021,P008,R01,252,461.18,116217.36,6,Completed
SO00084,2024-09-08,C018,P008,R04,96,322.11,30922.56,16,Completed
SO00085,2023-11-23,C003,P008,R03,705,373.81,263536.05,13,Completed
SO00086,2023-11-10,C008,P008,R04,407,238.72,97159.04,23,Completed
SO00087,2023-11-06,C026,P002,R04,1721,189.61,326318.81,20,Completed
SO00088,2023-10-26,C036,P003,R04,1777,237.56,422144.12,19,Completed
SO00089,2023-11-09,C013,P004,R01,781,150.06,117196.86,15,Completed
SO00090,2025-10-04,C018,P007,R04,932,368.35,343302.2,17,Completed
SO00091,2025-10-13,C030,P001,R02,1315,284.76,374459.4,7,Completed
SO00092,2023-01-30,C001,P004,R01,195,493.89,96308.55,19,Completed
SO00093,2024-02-19,C025,P006,R01,1927,418.0,805486.0,19,Completed
SO00094,2025-07-14,C035,P004,R02,560,151.24,84694.4,18,Completed
SO00095,2023-03-27,C005,P006,R04,1936,379.96,735602.56,5,Completed
SO00096,2024-09-09,C037,P007,R04,763,427.83,326434.29,19,Completed
SO00097,2023-10-02,C001,P002,R01,100,151.87,15187.0,6,Completed
SO00098,2023-09-18,C032,P006,R02,83,191.92,15929.36,10,Completed
SO00099,2023-01-26,C003,P004,R03,1964,167.73,329421.72,3,Completed
SO00100,2024-09-05,C030,P005,R02,812,213.67,173500.04,18,Completed
SO00101,2024-06-16,C037,P004,R04,902,326.89,294854.78,13,Completed
SO00102,2023-08-31,C034,P002,R02,855,311.88,266657.4,20,Completed
SO00103,2024-03-08,C034,P004,R02,1381,282.77,390505.37,3,Completed
SO00104,2025-05-13,C042,P003,R04,1636,354.87,580567.32,6,Completed
SO00105,2024-05-23,C017,P007,R03,1581,51.79,81879.99,7,Completed
SO00106,2025-12-12,C013,P004,R01,175,324.03,56705.25,18,Completed
SO00107,2024-01-10,C023,P005,R04,1256,300.69,377666.64,13,Completed
SO00108,2023-06-07,C040,P006,R01,949,185.92,176438.08,5,Completed
SO00109,2025-08-24,C032,P004,R02,110,112.3,12353.0,21,Completed
SO00110,2025-06-26,C042,P003,R04,1902,35.27,67083.54,8,Completed
SO00111,2023-05-18,C026,P004,R04,1119,194.85,218037.15,16,Completed
SO00112,2023-12-29,C026,P003,R04,298,250.95,74783.1,24,Completed
SO00113,2023-04-03,C048,P007,R04,1646,21.25,34977.5,6,Completed
SO00114,2025-06-08,C015,P006,R04,352,197.83,69636.16,24,Completed
SO00115,2023-09-26,C014,P007,R03,1289,365.85,471580.65,28,Delayed
SO00116,2023-02-11,C007,P003,R02,1076,449.7,483877.2,16,Completed
SO00117,2025-04-05,C018,P001,R04,1579,189.99,299994.21,21,Completed
SO00118,2023-10-03,C037,P003,R04,77,29.63,2281.51,27,Delayed
SO00119,2025-07-17,C044,P001,R01,586,447.45,262205.7,22,Completed
SO00120,2024-06-09,C041,P003,R02,158,250.2,39531.6,6,Completed
SO00121,2024-08-20,C008,P005,R04,1442,290.94,419535.48,12,Completed
SO00122,2023-11-13,C026,P003,R04,1393,293.97,409500.21,26,Completed
SO00123,2024-07-06,C033,P003,R02,1510,68.86,103978.6,8,Completed
SO00124,2024-02-06,C030,P004,R02,892,62.19,55473.48,26,Completed
SO00125,2025-09-19,C031,P001,R02,1113,354.54,394603.02,26,Completed
SO00126,2023-05-08,C028,P004,R04,124,435.44,53994.56,8,Completed
SO00127,2025-12-07,C038,P004,R02,996,414.01,412353.96,4,Completed
SO00128,2024-09-11,C045,P005,R03,1373,118.44,162618.12,28,Delayed
SO00129,2023-12-22,C033,P004,R02,581,136.36,79225.16,17,Completed
SO00130,2025-02-15,C038,P007,R02,1878,262.93,493782.54,6,Completed
SO00131,2023-12-19,C006,P005,R04,739,238.05,175918.95,7,Completed
SO00132,2023-03-14,C013,P008,R01,1241,408.74,507246.34,3,Completed
SO00133,2023-06-07,C009,P001,R02,960,246.36,236505.6,25,Completed
SO00134,2025-05-25,C005,P001,R04,367,378.07,138751.69,20,Completed
SO00135,2023-05-22,C009,P006,R02,637,202.03,128693.11,3,Completed
SO00136,2025-03-26,C029,P005,R02,1913,417.41,798505.33,7,Completed
SO00137,2023-08-18,C021,P002,R01,1238,411.0,508818.0,29,Delayed
SO00138,2024-11-29,C025,P008,R01,1822,302.39,550954.58,20,Completed
SO00139,2025-06-20,C014,P004,R03,849,242.09,205534.41,8,Completed
SO00140,2024-08-23,C033,P004,R02,714,190.57,136066.98,17,Completed
SO00141,2024-02-27,C040,P005,R01,153,319.63,48903.39,21,Completed
SO00142,2024-04-22,C008,P003,R04,603,86.85,52370.55,17,Completed
SO00143,2025-08-29,C030,P004,R02,1304,295.11,384823.44,8,Completed
SO00144,2025-04-08,C027,P006,R03,1000,88.7,88700.0,6,Completed
SO00145,2024-09-26,C010,P007,R04,914,69.4,63431.6,15,Completed
SO00146,2023-05-06,C024,P007,R02,997,210.7,210067.9,10,Completed
SO00147,2023-06-20,C012,P002,R01,1758,365.62,642759.96,21,Completed
SO00148,2025-01-31,C043,P005,R04,1356,185.93,252121.08,13,Completed
SO00149,2025-11-21,C006,P003,R04,761,223.33,169954.13,28,Delayed
SO00150,2025-11-09,C013,P002,R01,1689,262.83,443919.87,27,Delayed
SO00151,2023-10-16,C043,P006,R04,1533,69.06,105868.98,18,Completed
SO00152,2025-02-03,C008,P008,R04,176,93.22,16406.72,28,Delayed
SO00153,2023-03-20,C014,P001,R03,1369,423.41,579648.29,13,Completed
SO00154,2024-05-13,C021,P001,R01,1419,422.67,599768.73,24,Completed
SO00155,2025-07-13,C040,P003,R01,1984,211.52,419655.68,11,Completed
SO00156,2025-03-29,C026,P002,R04,986,74.85,73802.1,22,Completed
SO00157,2024-08-20,C002,P008,R04,1976,186.54,368603.04,4,Completed
SO00158,2025-10-12,C044,P005,R01,812,87.61,71139.32,26,Completed
SO00159,2024-10-04,C024,P002,R02,1234,193.95,239334.3,13,Completed
SO00160,2024-11-27,C021,P001,R01,1122,105.46,118326.12,22,Completed
SO00161,2024-05-23,C022,P005,R02,525,276.83,145335.75,10,Completed
SO00162,2024-07-11,C013,P005,R01,1039,379.98,394799.22,29,Delayed
SO00163,2025-06-01,C030,P003,R02,334,319.99,106876.66,18,Completed
SO00164,2024-09-20,C014,P001,R03,1444,237.58,343065.52,4,Completed
SO00165,2024-08-17,C030,P004,R02,1751,387.37,678284.87,6,Completed
SO00166,2023-07-26,C039,P007,R01,1716,199.19,341810.04,12,Completed
SO00167,2025-09-20,C033,P004,R02,136,489.89,66625.04,20,Completed
SO00168,2025-08-16,C003,P003,R03,492,262.64,129218.88,10,Completed
SO00169,2023-04-29,C003,P007,R03,1124,333.32,374651.68,17,Completed
SO00170,2025-03-03,C024,P007,R02,1151,309.53,356269.03,16,Completed
SO00171,2025-07-05,C037,P003,R04,231,118.39,27348.09,25,Completed
SO00172,2025-09-18,C007,P001,R02,1746,119.79,209153.34,21,Completed
SO00173,2023-05-20,C029,P008,R02,749,357.89,268059.61,3,Completed
SO00174,2025-06-21,C042,P003,R04,1072,202.25,216812.0,25,Completed
SO00175,2023-02-08,C037,P007,R04,983,391.44,384785.52,11,Completed
SO00176,2024-04-27,C022,P003,R02,1437,87.25,125378.25,12,Completed
SO00177,2024-09-21,C023,P008,R04,177,107.41,19011.57,20,Completed
SO00178,2023-01-26,C040,P003,R01,286,213.22,60980.92,11,Completed
SO00179,2023-06-08,C004,P007,R03,715,272.33,194715.95,15,Completed
SO00180,2025-01-28,C006,P006,R04,1219,274.24,334298.56,12,Completed
SO00181,2024-10-03,C017,P003,R03,1750,332.68,582190.0,28,Delayed
SO00182,2025-03-02,C022,P001,R02,76,452.01,34352.76,8,Completed
SO00183,2025-03-16,C045,P002,R03,870,104.18,90636.6,15,Completed
SO00184,2025-07-14,C046,P003,R01,1649,189.86,313079.14,24,Completed
SO00185,2025-03-22,C036,P001,R04,1444,137.77,198939.88,23,Completed
SO00186,2025-07-13,C036,P004,R04,1186,366.34,434479.24,10,Completed
SO00187,2024-09-22,C047,P004,R04,713,469.68,334881.84,7,Completed
SO00188,2024-06-20,C047,P003,R04,1221,97.77,119377.17,22,Completed
SO00189,2023-02-28,C045,P004,R03,531,319.2,169495.2,4,Completed
SO00190,2023-05-02,C017,P001,R03,1714,257.84,441937.76,13,Completed
SO00191,2024-10-25,C035,P004,R02,180,57.33,10319.4,14,Completed
SO00192,2025-02-01,C034,P003,R02,573,193.27,110743.71,14,Completed
SO00193,2025-06-09,C017,P008,R03,379,351.47,133207.13,19,Completed
SO00194,2023-07-30,C024,P005,R02,388,371.47,144130.36,23,Completed
SO00195,2025-04-15,C016,P006,R03,759,490.68,372426.12,20,Completed
SO00196,2024-06-26,C026,P002,R04,538,473.15,254554.7,17,Completed
SO00197,2023-02-20,C017,P005,R03,1992,286.79,571285.68,24,Completed
SO00198,2025-10-09,C007,P001,R02,186,112.45,20915.7,10,Completed
SO00199,2025-12-03,C018,P008,R04,1296,433.78,562178.88,9,Completed
SO00200,2024-05-18,C039,P005,R01,1346,332.08,446979.68,26,Completed
SO00201,2023-09-19,C034,P001,R02,180,354.22,63759.6,10,Completed
SO00202,2024-05-02,C039,P004,R01,1600,405.91,649456.0,6,Completed
SO00203,2025-05-21,C018,P003,R04,1234,445.27,549463.18,12,Completed
SO00204,2025-08-27,C035,P003,R02,1243,495.36,615732.48,29,Delayed
SO00205,2025-08-25,C032,P004,R02,1681,403.42,678149.02,9,Completed
SO00206,2023-01-11,C049,P001,R03,526,38.05,20014.3,14,Completed
SO00207,2024-11-22,C047,P007,R04,426,388.77,165616.02,27,Delayed
SO00208,2024-01-04,C001,P005,R01,1762,73.03,128678.86,16,Completed
SO00209,2023-11-26,C018,P007,R04,342,40.2,13748.4,3,Completed
SO00210,2025-10-04,C015,P001,R04,866,207.98,180110.68,6,Completed
SO00211,2023-09-06,C037,P008,R04,988,302.51,298879.88,9,Completed
SO00212,2025-08-30,C011,P008,R04,1135,314.44,356889.4,27,Delayed
SO00213,2025-03-28,C008,P001,R04,1733,422.16,731603.28,24,Completed
SO00214,2024-11-03,C010,P004,R04,1180,104.73,123581.4,28,Delayed
SO00215,2023-02-11,C006,P008,R04,1590,47.76,75938.4,17,Completed
SO00216,2023-09-04,C020,P005,R01,1963,272.02,533975.26,29,Delayed
SO00217,2024-03-12,C017,P006,R03,265,450.77,119454.05,5,Completed
SO00218,2023-09-13,C047,P002,R04,1162,304.61,353956.82,16,Completed
SO00219,2025-08-08,C003,P004,R03,684,82.17,56204.28,11,Completed
SO00220,2023-02-20,C042,P007,R04,570,177.94,101425.8,27,Delayed
SO00221,2024-09-04,C024,P001,R02,1197,198.89,238071.33,10,Completed
SO00222,2025-02-02,C018,P001,R04,503,481.82,242355.46,18,Completed
SO00223,2025-01-19,C017,P001,R03,1187,257.67,305854.29,21,Completed
SO00224,2025-06-29,C034,P003,R02,89,291.55,25947.95,15,Completed
SO00225,2025-03-18,C016,P004,R03,1241,137.74,170935.34,29,Delayed
SO00226,2025-08-16,C043,P006,R04,606,354.79,215002.74,12,Completed
SO00227,2023-05-01,C007,P006,R02,182,442.82,80593.24,28,Delayed
SO00228,2024-05-30,C042,P007,R04,1467,413.57,606707.19,23,Completed
SO00229,2025-03-29,C036,P002,R04,1331,419.42,558248.02,14,Completed
SO00230,2023-01-08,C046,P003,R01,1740,490.97,854287.8,19,Completed
SO00231,2023-05-12,C024,P004,R02,414,394.33,163252.62,8,Completed
SO00232,2023-11-12,C041,P001,R02,1297,423.26,548968.22,17,Completed
SO00233,2025-10-25,C004,P001,R03,965,350.19,337933.35,20,Completed
SO00234,2025-11-09,C012,P002,R01,967,360.11,348226.37,24,Completed
SO00235,2024-01-15,C018,P005,R04,355,495.27,175820.85,17,Completed
SO00236,2025-12-01,C035,P006,R02,997,383.97,382818.09,9,Completed
SO00237,2023-03-16,C047,P007,R04,128,413.02,52866.56,13,Completed
SO00238,2025-01-19,C046,P004,R01,787,498.62,392413.94,19,Completed
SO00239,2023-04-27,C015,P007,R04,936,416.44,389787.84,13,Completed
SO00240,2023-09-09,C014,P001,R03,1157,334.17,386634.69,29,Delayed
SO00241,2025-08-17,C028,P008,R04,1038,472.94,490911.72,18,Completed
SO00242,2025-08-05,C019,P008,R04,1526,492.31,751265.06,3,Completed
SO00243,2023-12-19,C034,P006,R02,1236,34.94,43185.84,27,Delayed
SO00244,2025-02-24,C044,P005,R01,257,280.75,72152.75,16,Completed
SO00245,2023-08-20,C008,P001,R04,640,237.77,152172.8,20,Completed
SO00246,2025-04-17,C044,P005,R01,742,457.68,339598.56,28,Delayed
SO00247,2024-11-12,C025,P007,R01,783,76.31,59750.73,19,Completed
SO00248,2024-11-03,C009,P002,R02,1751,128.26,224583.26,24,Completed
SO00249,2024-10-08,C024,P003,R02,633,168.97,106958.01,15,Completed
SO00250,2023-06-20,C030,P004,R02,1393,209.86,292334.98,17,Completed
SO00251,2024-10-26,C045,P003,R03,778,432.86,336765.08,8,Completed
SO00252,2025-10-01,C024,P006,R02,1626,136.18,221428.68,27,Delayed
SO00253,2024-09-27,C022,P001,R02,141,357.18,50362.38,12,Completed
SO00254,2025-05-04,C033,P008,R02,51,276.44,14098.44,11,Completed
SO00255,2024-01-21,C026,P001,R04,967,174.61,168847.87,8,Completed
SO00256,2024-09-23,C050,P006,R04,192,116.07,22285.44,25,Completed
SO00257,2025-01-04,C003,P008,R03,684,35.16,24049.44,8,Completed
SO00258,2024-11-12,C041,P005,R02,1443,468.9,676622.7,10,Completed
SO00259,2025-02-23,C047,P007,R04,300,252.51,75753.0,13,Completed
SO00260,2025-09-17,C022,P005,R02,459,250.83,115130.97,11,Completed
SO00261,2023-07-06,C018,P004,R04,1063,304.77,323970.51,14,Completed
SO00262,2023-07-01,C019,P007,R04,1640,245.69,402931.6,15,Completed
SO00263,2023-07-27,C032,P007,R02,356,97.6,34745.6,8,Completed
SO00264,2025-03-01,C032,P002,R02,361,487.9,176131.9,5,Completed
SO00265,2023-04-03,C029,P004,R02,1280,143.69,183923.2,14,Completed
SO00266,2023-07-18,C024,P008,R02,453,321.81,145779.93,14,Completed
SO00267,2025-04-25,C050,P004,R04,1762,266.72,469960.64,11,Completed
SO00268,2024-04-30,C036,P006,R04,627,306.91,192432.57,6,Completed
SO00269,2024-04-10,C012,P003,R01,1716,319.02,547438.32,10,Completed
SO00270,2025-07-12,C026,P002,R04,1593,214.55,341778.15,25,Completed
SO00271,2024-11-27,C002,P003,R04,424,218.25,92538.0,8,Completed
SO00272,2024-06-30,C047,P002,R04,63,267.11,16827.93,27,Delayed
SO00273,2024-12-27,C017,P001,R03,940,169.83,159640.2,4,Completed
SO00274,2025-08-06,C001,P001,R01,1497,307.38,460147.86,6,Completed
SO00275,2025-12-02,C011,P004,R04,1083,55.28,59868.24,16,Completed
SO00276,2023-12-29,C012,P004,R01,911,89.96,81953.56,7,Completed
SO00277,2023-10-09,C001,P005,R01,362,100.18,36265.16,22,Completed
SO00278,2024-02-22,C047,P005,R04,1277,247.82,316466.14,19,Completed
SO00279,2025-02-13,C047,P004,R04,1792,287.91,515934.72,29,Delayed
SO00280,2023-05-08,C002,P003,R04,1018,274.96,279909.28,22,Completed
SO00281,2023-02-28,C035,P006,R02,247,106.41,26283.27,29,Delayed
SO00282,2023-12-15,C014,P005,R03,1085,91.2,98952.0,23,Completed
SO00283,2024-06-16,C034,P006,R02,266,326.78,86923.48,27,Delayed
SO00284,2024-10-07,C043,P002,R04,1251,184.47,230771.97,8,Completed
SO00285,2023-06-08,C045,P001,R03,357,358.25,127895.25,12,Completed
SO00286,2025-03-16,C021,P002,R01,178,370.8,66002.4,8,Completed
SO00287,2025-08-17,C034,P002,R02,1266,422.3,534631.8,28,Delayed
SO00288,2024-02-16,C018,P001,R04,1218,418.82,510122.76,17,Completed
SO00289,2024-09-27,C008,P001,R04,394,350.97,138282.18,3,Completed
SO00290,2024-10-27,C014,P008,R03,1126,340.15,383008.9,11,Completed
SO00291,2023-05-02,C050,P006,R04,753,43.14,32484.42,11,Completed
SO00292,2025-08-15,C013,P008,R01,634,63.43,40214.62,11,Completed
SO00293,2023-05-05,C038,P006,R02,543,464.32,252125.76,21,Completed
SO00294,2025-06-10,C041,P006,R02,1352,229.08,309716.16,13,Completed
SO00295,2024-02-18,C007,P003,R02,1674,177.62,297335.88,3,Completed
SO00296,2024-02-08,C021,P003,R01,1988,206.51,410541.88,27,Delayed
SO00297,2024-10-23,C035,P005,R02,151,55.13,8324.63,5,Completed
SO00298,2023-07-11,C002,P006,R04,991,260.21,257868.11,23,Completed
SO00299,2025-08-12,C006,P004,R04,1997,32.31,64523.07,28,Delayed
SO00300,2023-05-04,C048,P002,R04,1366,138.11,188658.26,6,Completed
SO00301,2024-11-03,C006,P007,R04,1887,364.7,688188.9,29,Delayed
SO00302,2024-08-02,C043,P007,R04,1064,450.42,479246.88,23,Completed
SO00303,2025-09-20,C011,P002,R04,100,48.93,4893.0,23,Completed
SO00304,2024-06-15,C014,P002,R03,1966,316.33,621904.78,23,Completed
SO00305,2023-11-14,C047,P003,R04,1229,278.8,342645.2,18,Completed
SO00306,2023-04-12,C002,P006,R04,638,218.5,139403.0,27,Delayed
SO00307,2024-08-03,C044,P001,R01,1659,403.89,670053.51,9,Completed
SO00308,2023-11-24,C042,P007,R04,1001,482.2,482682.2,6,Completed
SO00309,2023-04-09,C044,P007,R01,1449,272.72,395171.28,17,Completed
SO00310,2025-11-13,C021,P005,R01,775,304.9,236297.5,28,Delayed
SO00311,2023-08-30,C042,P005,R04,633,389.57,246597.81,19,Completed
SO00312,2023-09-27,C050,P007,R04,713,414.85,295788.05,9,Completed
SO00313,2025-01-01,C036,P001,R04,1042,223.49,232876.58,7,Completed
SO00314,2023-07-11,C034,P006,R02,722,124.04,89556.88,19,Completed
SO00315,2023-07-22,C035,P003,R02,1037,118.97,123371.89,13,Completed
SO00316,2023-09-21,C025,P004,R01,819,151.78,124307.82,9,Completed
SO00317,2025-02-02,C039,P003,R01,1826,27.59,50379.34,26,Completed
SO00318,2023-05-27,C026,P001,R04,1175,297.63,349715.25,9,Completed
SO00319,2025-05-01,C037,P002,R04,402,305.96,122995.92,11,Completed
SO00320,2023-12-22,C041,P002,R02,1048,53.32,55879.36,19,Completed
SO00321,2025-07-07,C044,P006,R01,1612,327.28,527575.36,10,Completed
SO00322,2025-08-31,C044,P005,R01,430,239.29,102894.7,24,Completed
SO00323,2025-01-03,C002,P008,R04,663,287.74,190771.62,4,Completed
SO00324,2024-05-08,C022,P003,R02,1885,62.61,118019.85,7,Completed
SO00325,2023-07-19,C016,P006,R03,667,66.4,44288.8,27,Delayed
SO00326,2025-06-26,C016,P001,R03,1981,490.99,972651.19,5,Completed
SO00327,2025-10-20,C028,P002,R04,676,93.16,62976.16,7,Completed
SO00328,2025-03-21,C001,P007,R01,1706,342.35,584049.1,22,Completed
SO00329,2024-11-19,C039,P001,R01,849,81.3,69023.7,18,Completed
SO00330,2024-07-16,C014,P002,R03,1877,165.5,310643.5,20,Completed
SO00331,2024-01-10,C002,P003,R04,810,285.83,231522.3,13,Completed
SO00332,2025-06-30,C026,P003,R04,1269,439.2,557344.8,8,Completed
SO00333,2025-10-13,C022,P004,R02,1389,428.68,595436.52,12,Completed
SO00334,2024-07-10,C038,P003,R02,643,321.42,206673.06,26,Completed
SO00335,2024-08-14,C003,P006,R03,1921,121.75,233881.75,16,Completed
SO00336,2023-04-03,C002,P004,R04,908,353.58,321050.64,20,Completed
SO00337,2025-11-19,C010,P005,R04,1610,296.08,476688.8,24,Completed
SO00338,2023-12-12,C001,P005,R01,1183,451.17,533734.11,16,Completed
SO00339,2023-07-18,C041,P005,R02,951,90.26,85837.26,23,Completed
SO00340,2023-05-19,C004,P004,R03,586,131.62,77129.32,15,Completed
SO00341,2024-09-03,C032,P008,R02,141,169.67,23923.47,16,Completed
SO00342,2025-08-26,C006,P003,R04,721,123.7,89187.7,4,Completed
SO00343,2024-12-15,C005,P002,R04,1540,112.06,172572.4,27,Delayed
SO00344,2023-03-08,C031,P008,R02,1129,162.73,183722.17,25,Completed
SO00345,2023-09-30,C009,P002,R02,1229,165.57,203485.53,21,Completed
SO00346,2023-07-22,C033,P006,R02,1333,323.93,431798.69,10,Completed
SO00347,2025-06-17,C029,P005,R02,869,334.75,290897.75,8,Completed
SO00348,2024-04-15,C035,P001,R02,568,272.24,154632.32,24,Completed
SO00349,2025-07-02,C022,P006,R02,1718,25.3,43465.4,4,Completed
SO00350,2023-06-02,C038,P004,R02,1664,299.43,498251.52,25,Completed
SO00351,2023-06-05,C001,P005,R01,1086,25.82,28040.52,20,Completed
SO00352,2024-11-24,C037,P002,R04,222,40.46,8982.12,19,Completed
SO00353,2023-05-05,C021,P005,R01,357,147.69,52725.33,23,Completed
SO00354,2024-06-25,C048,P002,R04,1837,332.82,611390.34,5,Completed
SO00355,2024-02-18,C038,P003,R02,603,396.81,239276.43,15,Completed
SO00356,2023-06-01,C009,P001,R02,474,350.3,166042.2,18,Completed
SO00357,2023-10-15,C040,P007,R01,838,416.06,348658.28,25,Completed
SO00358,2024-12-24,C008,P008,R04,994,314.69,312801.86,25,Completed
SO00359,2024-07-29,C032,P002,R02,989,265.87,262945.43,7,Completed
