Month,Product_ID,Region_ID,Actual_Demand,Year,Month_Number,Time_Index,Demand_Lag_1,Demand_Lag_2,Demand_Lag_3,Demand_Lag_6,Demand_Lag_12,Demand_Rolling_Mean_3,Demand_Rolling_Mean_6,Quarter
2024-09-01,P001,R01,5908,2024,9,21,11369.0,6193.0,10687.0,3512.0,9988.0,9416.333333333334,8396.833333333334,3
2024-10-01,P001,R01,11360,2024,10,22,5908.0,11369.0,6193.0,10011.0,7346.0,7823.333333333333,8796.166666666666,4
2024-11-01,P001,R01,18120,2024,11,23,11360.0,5908.0,11369.0,8609.0,15185.0,9545.666666666666,9021.0,4
2024-12-01,P001,R01,12568,2024,12,24,18120.0,11360.0,5908.0,10687.0,5532.0,11796.0,10606.166666666666,4
2025-01-01,P001,R01,5452,2025,1,25,12568.0,18120.0,11360.0,6193.0,11500.0,14016.0,10919.666666666666,1
2025-02-01,P001,R01,8554,2025,2,26,5452.0,12568.0,18120.0,11369.0,7863.0,12046.666666666666,10796.166666666666,1
2025-03-01,P001,R01,3614,2025,3,27,8554.0,5452.0,12568.0,5908.0,3512.0,8858.0,10327.0,1
2025-04-01,P001,R01,7581,2025,4,28,3614.0,8554.0,5452.0,11360.0,10011.0,5873.333333333333,9944.666666666666,2
2025-05-01,P001,R01,8022,2025,5,29,7581.0,3614.0,8554.0,18120.0,8609.0,6583.0,9314.833333333334,2
2025-06-01,P001,R01,6170,2025,6,30,8022.0,7581.0,3614.0,12568.0,10687.0,6405.666666666667,7631.833333333333,2
2025-07-01,P001,R01,3906,2025,7,31,6170.0,8022.0,7581.0,5452.0,6193.0,7257.666666666667,6565.5,3
2025-08-01,P001,R01,13590,2025,8,32,3906.0,6170.0,8022.0,8554.0,11369.0,6032.666666666667,6307.833333333333,3
2025-09-01,P001,R01,9236,2025,9,33,13590.0,3906.0,6170.0,3614.0,5908.0,7888.666666666667,7147.166666666667,3
2025-10-01,P001,R01,5834,2025,10,34,9236.0,13590.0,3906.0,7581.0,11360.0,8910.666666666666,8084.166666666667,4
2025-11-01,P001,R01,10025,2025,11,35,5834.0,9236.0,13590.0,8022.0,18120.0,9553.333333333334,7793.0,4
2025-12-01,P001,R01,12233,2025,12,36,10025.0,5834.0,9236.0,6170.0,12568.0,8365.0,8126.833333333333,4
2023-01-01,P001,R02,8693,2023,1,1,,,,,,,,1
2023-02-01,P001,R02,6708,2023,2,2,8693.0,,,,,,,1
2023-03-01,P001,R02,8093,2023,3,3,6708.0,8693.0,,,,,,1
2023-04-01,P001,R02,2759,2023,4,4,8093.0,6708.0,8693.0,,,7831.333333333333,,2
2023-05-01,P001,R02,9569,2023,5,5,2759.0,8093.0,6708.0,,,5853.333333333333,,2
2023-06-01,P001,R02,1434,2023,6,6,9569.0,2759.0,8093.0,,,6807.0,,2
2023-07-01,P001,R02,6700,2023,7,7,1434.0,9569.0,2759.0,8693.0,,4587.333333333333,6209.333333333333,3
2023-08-01,P001,R02,8521,2023,8,8,6700.0,1434.0,9569.0,6708.0,,5901.0,5877.166666666667,3
2023-09-01,P001,R02,6256,2023,9,9,8521.0,6700.0,1434.0,8093.0,,5551.666666666667,6179.333333333333,3
2023-10-01,P001,R02,10497,2023,10,10,6256.0,8521.0,6700.0,2759.0,,7159.0,5873.166666666667,4
2023-11-01,P001,R02,6765,2023,11,11,10497.0,6256.0,8521.0,9569.0,,8424.666666666666,7162.833333333333,4
2023-12-01,P001,R02,9534,2023,12,12,6765.0,10497.0,6256.0,1434.0,,7839.333333333333,6695.5,4
2024-01-01,P001,R02,9828,2024,1,13,9534.0,6765.0,10497.0,6700.0,8693.0,8932.0,8045.5,1
2024-02-01,P001,R02,5394,2024,2,14,9828.0,9534.0,6765.0,8521.0,6708.0,8709.0,8566.833333333334,1
2024-03-01,P001,R02,10330,2024,3,15,5394.0,9828.0,9534.0,6256.0,8093.0,8252.0,8045.666666666667,1
2024-04-01,P001,R02,13734,2024,4,16,10330.0,5394.0,9828.0,10497.0,2759.0,8517.333333333334,8724.666666666666,2
2024-05-01,P001,R02,5966,2024,5,17,13734.0,10330.0,5394.0,6765.0,9569.0,9819.333333333334,9264.166666666666,2
2024-06-01,P001,R02,8907,2024,6,18,5966.0,13734.0,10330.0,9534.0,1434.0,10010.0,9131.0,2
2024-07-01,P001,R02,13842,2024,7,19,8907.0,5966.0,13734.0,9828.0,6700.0,9535.666666666666,9026.5,3
2024-08-01,P001,R02,11770,2024,8,20,13842.0,8907.0,5966.0,5394.0,8521.0,9571.666666666666,9695.5,3
2024-09-01,P001,R02,11121,2024,9,21,11770.0,13842.0,8907.0,10330.0,6256.0,11506.333333333334,10758.166666666666,3
2024-10-01,P001,R02,12421,2024,10,22,11121.0,11770.0,13842.0,13734.0,10497.0,12244.333333333334,10890.0,4
2024-11-01,P001,R02,8291,2024,11,23,12421.0,11121.0,11770.0,5966.0,6765.0,11770.666666666666,10671.166666666666,4
2024-12-01,P001,R02,17105,2024,12,24,8291.0,12421.0,11121.0,8907.0,9534.0,10611.0,11058.666666666666,4
2025-01-01,P001,R02,11387,2025,1,25,17105.0,8291.0,12421.0,13842.0,9828.0,12605.666666666666,12425.0,1
2025-02-01,P001,R02,9822,2025,2,26,11387.0,17105.0,8291.0,11770.0,5394.0,12261.0,12015.833333333334,1
2025-03-01,P001,R02,8363,2025,3,27,9822.0,11387.0,17105.0,11121.0,10330.0,12771.333333333334,11691.166666666666,1
2025-04-01,P001,R02,11323,2025,4,28,8363.0,9822.0,11387.0,12421.0,13734.0,9857.333333333334,11231.5,2
2025-05-01,P001,R02,12796,2025,5,29,11323.0,8363.0,9822.0,8291.0,5966.0,9836.0,11048.5,2
2025-06-01,P001,R02,13317,2025,6,30,12796.0,11323.0,8363.0,17105.0,8907.0,10827.333333333334,11799.333333333334,2
2025-07-01,P001,R02,16164,2025,7,31,13317.0,12796.0,11323.0,11387.0,13842.0,12478.666666666666,11168.0,3
2025-08-01,P001,R02,8341,2025,8,32,16164.0,13317.0,12796.0,9822.0,11770.0,14092.333333333334,11964.166666666666,3
2025-09-01,P001,R02,12766,2025,9,33,8341.0,16164.0,13317.0,8363.0,11121.0,12607.333333333334,11717.333333333334,3
2025-10-01,P001,R02,11017,2025,10,34,12766.0,8341.0,16164.0,11323.0,12421.0,12423.666666666666,12451.166666666666,4
2025-11-01,P001,R02,9580,2025,11,35,11017.0,12766.0,8341.0,12796.0,8291.0,10708.0,12400.166666666666,4
2025-12-01,P001,R02,15907,2025,12,36,9580.0,11017.0,12766.0,13317.0,17105.0,11121.0,11864.166666666666,4
2023-01-01,P001,R03,7685,2023,1,1,,,,,,,,1
2023-02-01,P001,R03,7952,2023,2,2,7685.0,,,,,,,1
2023-03-01,P001,R03,6128,2023,3,3,7952.0,7685.0,,,,,,1
2023-04-01,P001,R03,5386,2023,4,4,6128.0,7952.0,7685.0,,,7255.0,,2
2023-05-01,P001,R03,11015,2023,5,5,5386.0,6128.0,7952.0,,,6488.666666666667,,2
2023-06-01,P001,R03,5407,2023,6,6,11015.0,5386.0,6128.0,,,7509.666666666667,,2
2023-07-01,P001,R03,2992,2023,7,7,5407.0,11015.0,5386.0,7685.0,,7269.333333333333,7262.166666666667,3
2023-08-01,P001,R03,4019,2023,8,8,2992.0,5407.0,11015.0,7952.0,,6471.333333333333,6480.0,3
2023-09-01,P001,R03,9568,2023,9,9,4019.0,2992.0,5407.0,6128.0,,4139.333333333333,5824.5,3
2023-10-01,P001,R03,12351,2023,10,10,9568.0,4019.0,2992.0,5386.0,,5526.333333333333,6397.833333333333,4
2023-11-01,P001,R03,5529,2023,11,11,12351.0,9568.0,4019.0,11015.0,,8646.0,7558.666666666667,4
2023-12-01,P001,R03,8773,2023,12,12,5529.0,12351.0,9568.0,5407.0,,9149.333333333334,6644.333333333333,4
2024-01-01,P001,R03,5032,2024,1,13,8773.0,5529.0,12351.0,2992.0,7685.0,8884.333333333334,7205.333333333333,1
2024-02-01,P001,R03,8992,2024,2,14,5032.0,8773.0,5529.0,4019.0,7952.0,6444.666666666667,7545.333333333333,1
2024-03-01,P001,R03,4540,2024,3,15,8992.0,5032.0,8773.0,9568.0,6128.0,7599.0,8374.166666666666,1
2024-04-01,P001,R03,4834,2024,4,16,4540.0,8992.0,5032.0,12351.0,5386.0,6188.0,7536.166666666667,2
2024-05-01,P001,R03,3462,2024,5,17,4834.0,4540.0,8992.0,5529.0,11015.0,6122.0,6283.333333333333,2
2024-06-01,P001,R03,7812,2024,6,18,3462.0,4834.0,4540.0,8773.0,5407.0,4278.666666666667,5938.833333333333,2
2024-07-01,P001,R03,11627,2024,7,19,7812.0,3462.0,4834.0,5032.0,2992.0,5369.333333333333,5778.666666666667,3
2024-08-01,P001,R03,6123,2024,8,20,11627.0,7812.0,3462.0,8992.0,4019.0,7633.666666666667,6877.833333333333,3
2024-09-01,P001,R03,7048,2024,9,21,6123.0,11627.0,7812.0,4540.0,9568.0,8520.666666666666,6399.666666666667,3
2024-10-01,P001,R03,5587,2024,10,22,7048.0,6123.0,11627.0,4834.0,12351.0,8266.0,6817.666666666667,4
2024-11-01,P001,R03,6019,2024,11,23,5587.0,7048.0,6123.0,3462.0,5529.0,6252.666666666667,6943.166666666667,4
2024-12-01,P001,R03,4727,2024,12,24,6019.0,5587.0,7048.0,7812.0,8773.0,6218.0,7369.333333333333,4
2025-01-01,P001,R03,6249,2025,1,25,4727.0,6019.0,5587.0,11627.0,5032.0,5444.333333333333,6855.166666666667,1
2025-02-01,P001,R03,5486,2025,2,26,6249.0,4727.0,6019.0,6123.0,8992.0,5665.0,5958.833333333333,1
2025-03-01,P001,R03,12564,2025,3,27,5486.0,6249.0,4727.0,7048.0,4540.0,5487.333333333333,5852.666666666667,1
2025-04-01,P001,R03,7804,2025,4,28,12564.0,5486.0,6249.0,5587.0,4834.0,8099.666666666667,6772.0,2
2025-05-01,P001,R03,2690,2025,5,29,7804.0,12564.0,5486.0,6019.0,3462.0,8618.0,7141.5,2
2025-06-01,P001,R03,6697,2025,6,30,2690.0,7804.0,12564.0,4727.0,7812.0,7686.0,6586.666666666667,2
2025-07-01,P001,R03,1672,2025,7,31,6697.0,2690.0,7804.0,6249.0,11627.0,5730.333333333333,6915.0,3
2025-08-01,P001,R03,15541,2025,8,32,1672.0,6697.0,2690.0,5486.0,6123.0,3686.3333333333335,6152.166666666667,3
2025-09-01,P001,R03,10957,2025,9,33,15541.0,1672.0,6697.0,12564.0,7048.0,7970.0,7828.0,3
2025-10-01,P001,R03,8080,2025,10,34,10957.0,15541.0,1672.0,7804.0,5587.0,9390.0,7560.166666666667,4
2025-11-01,P001,R03,5193,2025,11,35,8080.0,10957.0,15541.0,2690.0,6019.0,11526.0,7606.166666666667,4
2025-12-01,P001,R03,5702,2025,12,36,5193.0,8080.0,10957.0,6697.0,4727.0,8076.666666666667,8023.333333333333,4
2023-01-01,P001,R04,13359,2023,1,1,,,,,,,,1
2023-02-01,P001,R04,22745,2023,2,2,13359.0,,,,,,,1
2023-03-01,P001,R04,13595,2023,3,3,22745.0,13359.0,,,,,,1
2023-04-01,P001,R04,8011,2023,4,4,13595.0,22745.0,13359.0,,,16566.333333333332,,2
2023-05-01,P001,R04,12226,2023,5,5,8011.0,13595.0,22745.0,,,14783.666666666666,,2
2023-06-01,P001,R04,12342,2023,6,6,12226.0,8011.0,13595.0,,,11277.333333333334,,2
2023-07-01,P001,R04,20807,2023,7,7,12342.0,12226.0,8011.0,13359.0,,10859.666666666666,13713.0,3
2023-08-01,P001,R04,11478,2023,8,8,20807.0,12342.0,12226.0,22745.0,,15125.0,14954.333333333334,3
2023-09-01,P001,R04,12428,2023,9,9,11478.0,20807.0,12342.0,13595.0,,14875.666666666666,13076.5,3
2023-10-01,P001,R04,10448,2023,10,10,12428.0,11478.0,20807.0,8011.0,,14904.333333333334,12882.0,4
2023-11-01,P001,R04,16363,2023,11,11,10448.0,12428.0,11478.0,12226.0,,11451.333333333334,13288.166666666666,4
2023-12-01,P001,R04,10604,2023,12,12,16363.0,10448.0,12428.0,12342.0,,13079.666666666666,13977.666666666666,4
2024-01-01,P001,R04,11052,2024,1,13,10604.0,16363.0,10448.0,20807.0,13359.0,12471.666666666666,13688.0,1
2024-02-01,P001,R04,15976,2024,2,14,11052.0,10604.0,16363.0,11478.0,22745.0,12673.0,12062.166666666666,1
2024-03-01,P001,R04,12551,2024,3,15,15976.0,11052.0,10604.0,12428.0,13595.0,12544.0,12811.833333333334,1
2024-04-01,P001,R04,5857,2024,4,16,12551.0,15976.0,11052.0,10448.0,8011.0,13193.0,12832.333333333334,2
2024-05-01,P001,R04,14621,2024,5,17,5857.0,12551.0,15976.0,16363.0,12226.0,11461.333333333334,12067.166666666666,2
2024-06-01,P001,R04,20253,2024,6,18,14621.0,5857.0,12551.0,10604.0,12342.0,11009.666666666666,11776.833333333334,2
2024-07-01,P001,R04,8923,2024,7,19,20253.0,14621.0,5857.0,11052.0,20807.0,13577.0,13385.0,3
2024-08-01,P001,R04,14867,2024,8,20,8923.0,20253.0,14621.0,15976.0,11478.0,14599.0,13030.166666666666,3
2024-09-01,P001,R04,18535,2024,9,21,14867.0,8923.0,20253.0,12551.0,12428.0,14681.0,12845.333333333334,3
2024-10-01,P001,R04,20858,2024,10,22,18535.0,14867.0,8923.0,5857.0,10448.0,14108.333333333334,13842.666666666666,4
2024-11-01,P001,R04,14712,2024,11,23,20858.0,18535.0,14867.0,14621.0,16363.0,18086.666666666668,16342.833333333334,4
2024-12-01,P001,R04,15235,2024,12,24,14712.0,20858.0,18535.0,20253.0,10604.0,18035.0,16358.0,4
2025-01-01,P001,R04,27268,2025,1,25,15235.0,14712.0,20858.0,8923.0,11052.0,16935.0,15521.666666666666,1
2025-02-01,P001,R04,17167,2025,2,26,27268.0,15235.0,14712.0,14867.0,15976.0,19071.666666666668,18579.166666666668,1
2025-03-01,P001,R04,21239,2025,3,27,17167.0,27268.0,15235.0,18535.0,12551.0,19890.0,18962.5,1
2025-04-01,P001,R04,14373,2025,4,28,21239.0,17167.0,27268.0,20858.0,5857.0,21891.333333333332,19413.166666666668,2
2025-05-01,P001,R04,11700,2025,5,29,14373.0,21239.0,17167.0,14712.0,14621.0,17593.0,18332.333333333332,2
2025-06-01,P001,R04,11271,2025,6,30,11700.0,14373.0,21239.0,15235.0,20253.0,15770.666666666666,17830.333333333332,2
2025-07-01,P001,R04,13417,2025,7,31,11271.0,11700.0,14373.0,27268.0,8923.0,12448.0,17169.666666666668,3
2025-08-01,P001,R04,15289,2025,8,32,13417.0,11271.0,11700.0,17167.0,14867.0,12129.333333333334,14861.166666666666,3
2025-09-01,P001,R04,13922,2025,9,33,15289.0,13417.0,11271.0,21239.0,18535.0,13325.666666666666,14548.166666666666,3
2025-10-01,P001,R04,22560,2025,10,34,13922.0,15289.0,13417.0,14373.0,20858.0,14209.333333333334,13328.666666666666,4
2025-11-01,P001,R04,11623,2025,11,35,22560.0,13922.0,15289.0,11700.0,14712.0,17257.0,14693.166666666666,4
2025-12-01,P001,R04,24643,2025,12,36,11623.0,22560.0,13922.0,11271.0,15235.0,16035.0,14680.333333333334,4
2023-01-01,P002,R01,8414,2023,1,1,,,,,,,,1
2023-02-01,P002,R01,2132,2023,2,2,8414.0,,,,,,,1
2023-03-01,P002,R01,7521,2023,3,3,2132.0,8414.0,,,,,,1
2023-04-01,P002,R01,2475,2023,4,4,7521.0,2132.0,8414.0,,,6022.333333333333,,2
2023-05-01,P002,R01,6112,2023,5,5,2475.0,7521.0,2132.0,,,4042.6666666666665,,2
2023-06-01,P002,R01,9259,2023,6,6,6112.0,2475.0,7521.0,,,5369.333333333333,,2
2023-07-01,P002,R01,3404,2023,7,7,9259.0,6112.0,2475.0,8414.0,,5948.666666666667,5985.5,3
2023-08-01,P002,R01,6828,2023,8,8,3404.0,9259.0,6112.0,2132.0,,6258.333333333333,5150.5,3
2023-09-01,P002,R01,6001,2023,9,9,6828.0,3404.0,9259.0,7521.0,,6497.0,5933.166666666667,3
2023-10-01,P002,R01,7942,2023,10,10,6001.0,6828.0,3404.0,2475.0,,5411.0,5679.833333333333,4
2023-11-01,P002,R01,9323,2023,11,11,7942.0,6001.0,6828.0,6112.0,,6923.666666666667,6591.0,4
2023-12-01,P002,R01,3919,2023,12,12,9323.0,7942.0,6001.0,9259.0,,7755.333333333333,7126.166666666667,4
2024-01-01,P002,R01,8839,2024,1,13,3919.0,9323.0,7942.0,3404.0,8414.0,7061.333333333333,6236.166666666667,1
2024-02-01,P002,R01,9509,2024,2,14,8839.0,3919.0,9323.0,6828.0,2132.0,7360.333333333333,7142.0,1
2024-03-01,P002,R01,6103,2024,3,15,9509.0,8839.0,3919.0,6001.0,7521.0,7422.333333333333,7588.833333333333,1
2024-04-01,P002,R01,9889,2024,4,16,6103.0,9509.0,8839.0,7942.0,2475.0,8150.333333333333,7605.833333333333,2
2024-05-01,P002,R01,7850,2024,5,17,9889.0,6103.0,9509.0,9323.0,6112.0,8500.333333333334,7930.333333333333,2
2024-06-01,P002,R01,5307,2024,6,18,7850.0,9889.0,6103.0,3919.0,9259.0,7947.333333333333,7684.833333333333,2
2024-07-01,P002,R01,8866,2024,7,19,5307.0,7850.0,9889.0,8839.0,3404.0,7682.0,7916.166666666667,3
2024-08-01,P002,R01,6714,2024,8,20,8866.0,5307.0,7850.0,9509.0,6828.0,7341.0,7920.666666666667,3
2024-09-01,P002,R01,12959,2024,9,21,6714.0,8866.0,5307.0,6103.0,6001.0,6962.333333333333,7454.833333333333,3
2024-10-01,P002,R01,10396,2024,10,22,12959.0,6714.0,8866.0,9889.0,7942.0,9513.0,8597.5,4
2024-11-01,P002,R01,6345,2024,11,23,10396.0,12959.0,6714.0,7850.0,9323.0,10023.0,8682.0,4
2024-12-01,P002,R01,13718,2024,12,24,6345.0,10396.0,12959.0,5307.0,3919.0,9900.0,8431.166666666666,4
2025-01-01,P002,R01,8598,2025,1,25,13718.0,6345.0,10396.0,8866.0,8839.0,10153.0,9833.0,1
2025-02-01,P002,R01,2765,2025,2,26,8598.0,13718.0,6345.0,6714.0,9509.0,9553.666666666666,9788.333333333334,1
2025-03-01,P002,R01,7160,2025,3,27,2765.0,8598.0,13718.0,12959.0,6103.0,8360.333333333334,9130.166666666666,1
2025-04-01,P002,R01,3014,2025,4,28,7160.0,2765.0,8598.0,10396.0,9889.0,6174.333333333333,8163.666666666667,2
2025-05-01,P002,R01,6117,2025,5,29,3014.0,7160.0,2765.0,6345.0,7850.0,4313.0,6933.333333333333,2
2025-06-01,P002,R01,7962,2025,6,30,6117.0,3014.0,7160.0,13718.0,5307.0,5430.333333333333,6895.333333333333,2
2025-07-01,P002,R01,10436,2025,7,31,7962.0,6117.0,3014.0,8598.0,8866.0,5697.666666666667,5936.0,3
2025-08-01,P002,R01,5652,2025,8,32,10436.0,7962.0,6117.0,2765.0,6714.0,8171.666666666667,6242.333333333333,3
2025-09-01,P002,R01,2160,2025,9,33,5652.0,10436.0,7962.0,7160.0,12959.0,8016.666666666667,6723.5,3
2025-10-01,P002,R01,6196,2025,10,34,2160.0,5652.0,10436.0,3014.0,10396.0,6082.666666666667,5890.166666666667,4
2025-11-01,P002,R01,7555,2025,11,35,6196.0,2160.0,5652.0,6117.0,6345.0,4669.333333333333,6420.5,4
2025-12-01,P002,R01,7702,2025,12,36,7555.0,6196.0,2160.0,7962.0,13718.0,5303.666666666667,6660.166666666667,4
2023-01-01,P002,R02,13088,2023,1,1,,,,,,,,1
2023-02-01,P002,R02,9435,2023,2,2,13088.0,,,,,,,1
2023-03-01,P002,R02,5669,2023,3,3,9435.0,13088.0,,,,,,1
2023-04-01,P002,R02,8134,2023,4,4,5669.0,9435.0,13088.0,,,9397.333333333334,,2
2023-05-01,P002,R02,9208,2023,5,5,8134.0,5669.0,9435.0,,,7746.0,,2
2023-06-01,P002,R02,4628,2023,6,6,9208.0,8134.0,5669.0,,,7670.333333333333,,2
2023-07-01,P002,R02,14939,2023,7,7,4628.0,9208.0,8134.0,13088.0,,7323.333333333333,8360.333333333334,3
2023-08-01,P002,R02,10165,2023,8,8,14939.0,4628.0,9208.0,9435.0,,9591.666666666666,8668.833333333334,3
2023-09-01,P002,R02,6642,2023,9,9,10165.0,14939.0,4628.0,5669.0,,9910.666666666666,8790.5,3
2023-10-01,P002,R02,6456,2023,10,10,6642.0,10165.0,14939.0,8134.0,,10582.0,8952.666666666666,4
2023-11-01,P002,R02,7407,2023,11,11,6456.0,6642.0,10165.0,9208.0,,7754.333333333333,8673.0,4
2023-12-01,P002,R02,17689,2023,12,12,7407.0,6456.0,6642.0,4628.0,,6835.0,8372.833333333334,4
2024-01-01,P002,R02,11296,2024,1,13,17689.0,7407.0,6456.0,14939.0,13088.0,10517.333333333334,10549.666666666666,1
2024-02-01,P002,R02,8316,2024,2,14,11296.0,17689.0,7407.0,10165.0,9435.0,12130.666666666666,9942.5,1
2024-03-01,P002,R02,10361,2024,3,15,8316.0,11296.0,17689.0,6642.0,5669.0,12433.666666666666,9634.333333333334,1
2024-04-01,P002,R02,8145,2024,4,16,10361.0,8316.0,11296.0,6456.0,8134.0,9991.0,10254.166666666666,2
2024-05-01,P002,R02,4837,2024,5,17,8145.0,10361.0,8316.0,7407.0,9208.0,8940.666666666666,10535.666666666666,2
2024-06-01,P002,R02,7182,2024,6,18,4837.0,8145.0,10361.0,17689.0,4628.0,7781.0,10107.333333333334,2
2024-07-01,P002,R02,11351,2024,7,19,7182.0,4837.0,8145.0,11296.0,14939.0,6721.333333333333,8356.166666666666,3
2024-08-01,P002,R02,6654,2024,8,20,11351.0,7182.0,4837.0,8316.0,10165.0,7790.0,8365.333333333334,3
2024-09-01,P002,R02,12983,2024,9,21,6654.0,11351.0,7182.0,10361.0,6642.0,8395.666666666666,8088.333333333333,3
2024-10-01,P002,R02,10297,2024,10,22,12983.0,6654.0,11351.0,8145.0,6456.0,10329.333333333334,8525.333333333334,4
2024-11-01,P002,R02,11365,2024,11,23,10297.0,12983.0,6654.0,4837.0,7407.0,9978.0,8884.0,4
2024-12-01,P002,R02,10879,2024,12,24,11365.0,10297.0,12983.0,7182.0,17689.0,11548.333333333334,9972.0,4
2025-01-01,P002,R02,8850,2025,1,25,10879.0,11365.0,10297.0,11351.0,11296.0,10847.0,10588.166666666666,1
2025-02-01,P002,R02,3961,2025,2,26,8850.0,10879.0,11365.0,6654.0,8316.0,10364.666666666666,10171.333333333334,1
2025-03-01,P002,R02,15758,2025,3,27,3961.0,8850.0,10879.0,12983.0,10361.0,7896.666666666667,9722.5,1
2025-04-01,P002,R02,9279,2025,4,28,15758.0,3961.0,8850.0,10297.0,8145.0,9523.0,10185.0,2
2025-05-01,P002,R02,15070,2025,5,29,9279.0,15758.0,3961.0,11365.0,4837.0,9666.0,10015.333333333334,2
2025-06-01,P002,R02,6469,2025,6,30,15070.0,9279.0,15758.0,10879.0,7182.0,13369.0,10632.833333333334,2
2025-07-01,P002,R02,7965,2025,7,31,6469.0,15070.0,9279.0,8850.0,11351.0,10272.666666666666,9897.833333333334,3
2025-08-01,P002,R02,11505,2025,8,32,7965.0,6469.0,15070.0,3961.0,6654.0,9834.666666666666,9750.333333333334,3
2025-09-01,P002,R02,6727,2025,9,33,11505.0,7965.0,6469.0,15758.0,12983.0,8646.333333333334,11007.666666666666,3
2025-10-01,P002,R02,2473,2025,10,34,6727.0,11505.0,7965.0,9279.0,10297.0,8732.333333333334,9502.5,4
2025-11-01,P002,R02,6599,2025,11,35,2473.0,6727.0,11505.0,15070.0,11365.0,6901.666666666667,8368.166666666666,4
2025-12-01,P002,R02,10468,2025,12,36,6599.0,2473.0,6727.0,6469.0,10879.0,5266.333333333333,6956.333333333333,4
2023-01-01,P002,R03,4146,2023,1,1,,,,,,,,1
2023-02-01,P002,R03,402,2023,2,2,4146.0,,,,,,,1
2023-03-01,P002,R03,2308,2023,3,3,402.0,4146.0,,,,,,1
2023-04-01,P002,R03,1788,2023,4,4,2308.0,402.0,4146.0,,,2285.3333333333335,,2
2023-05-01,P002,R03,6614,2023,5,5,1788.0,2308.0,402.0,,,1499.3333333333333,,2
2023-06-01,P002,R03,4229,2023,6,6,6614.0,1788.0,2308.0,,,3570.0,,2
2023-07-01,P002,R03,2137,2023,7,7,4229.0,6614.0,1788.0,4146.0,,4210.333333333333,3247.8333333333335,3
2023-08-01,P002,R03,7607,2023,8,8,2137.0,4229.0,6614.0,402.0,,4326.666666666667,2913.0,3
2023-09-01,P002,R03,3335,2023,9,9,7607.0,2137.0,4229.0,2308.0,,4657.666666666667,4113.833333333333,3
2023-10-01,P002,R03,7759,2023,10,10,3335.0,7607.0,2137.0,1788.0,,4359.666666666667,4285.0,4
2023-11-01,P002,R03,5029,2023,11,11,7759.0,3335.0,7607.0,6614.0,,6233.666666666667,5280.166666666667,4
2023-12-01,P002,R03,2757,2023,12,12,5029.0,7759.0,3335.0,4229.0,,5374.333333333333,5016.0,4
2024-01-01,P002,R03,1888,2024,1,13,2757.0,5029.0,7759.0,2137.0,4146.0,5181.666666666667,4770.666666666667,1
2024-02-01,P002,R03,1312,2024,2,14,1888.0,2757.0,5029.0,7607.0,402.0,3224.6666666666665,4729.166666666667,1
